#This is a comment
#This is another comment
AREA,PERIMETER,USPORT2K_,USPORT2K_I,NAME,ADDRESS,CITY,STATE,ZIPCODE,OWNER,FUNCTION,BERTHS,LAT,LONG
0,0,2924,2250,MEMPHIS,,MEMPHIS,TN,38107, TRUMBULL ASPHALT CO.,,1,35.18,-90.043333
0,0,2925,2260,MEMPHIS,,MEMPHIS,TN,38107, APAC - TENNESSEE INC,,1,35.18,-90.043333
0,0,2926,2194,COUNCE,,COUNCE,TN,38326, TENN RIVER PULP + PAPER,,1,35.041667,-88.273333
0,0,2932,2249,MEMPHIS,,MEMPHIS,TN,38157, PILLSBURY CO,,1,35.125,-90.056667
0,0,2933,2264,MEMPHIS,,MEMPHIS,TN,38126, LUCY WOODSTOCK CHEMICAL,,1,35.125,-90.058333
0,0,2934,2248,MEMPHIS,,MEMPHIS,TN,38101, W M BARR CO.,,1,35.115,-90.055
0,0,2935,2256,MEMPHIS,,MEMPHIS,TN,38101, MISSOURI PORTLAND CEMENT,,1,35.115,-90.055
0,0,2936,2244,MEMPHIS,,MEMPHIS,TN,38101, CARGILL SOYBEAN DOCK,,2,35.115,-90.055
0,0,2937,2262,MEMPHIS,,MEMPHIS,TN,38101, EXXON CO. USA,,1,35.115,-90.055
0,0,2938,2242,MEMPHIS,,MEMPHIS,TN,38101, ISLAND TERMINAL CO.,,1,35.115,-90.055
0,0,2939,2253,MEMPHIS,,MEMPHIS,TN,38113, CARGILL CORN STARCH AND,,1,35.106667,-90.093333
0,0,2940,2252,MEMPHIS,,MEMPHIS,TN,38113, RIVER CEMENT CO.,,1,35.106667,-90.093333
0,0,2941,2255,MEMPHIS,,MEMPHIS,TN,38113, CHICAGO BRIDGE + IRON,,1,35.106667,-90.093333
0,0,2942,2254,MEMPHIS,,MEMPHIS,TN,38113, CHEMTECH INDUSTRIES,,1,35.106667,-90.093333
0,0,2943,2251,MEMPHIS,,MEMPHIS,TN,38113, NATIONAL DISTILLERS PROD,,1,35.106667,-90.093333
0,0,2944,2243,MEMPHIS,,MEMPHIS,TN,38113, TABOR GRAIN CO.,,1,35.106667,-90.093333
0,0,2945,2261,MEMPHIS,,MEMPHIS,TN,38113, TOSCO CORP,,1,35.106667,-90.093333
0,0,2946,2245,MEMPHIS,,MEMPHIS,TN,38113, AMOCO OIL CO.,,1,35.106667,-90.093333
0,0,2947,2247,MEMPHIS,,MEMPHIS,TN,38113, UNION TEXAS PETROLEUM CO,,1,35.106667,-90.093333
0,0,2948,2246,MEMPHIS,,MEMPHIS,TN,38113, ERGON, INC.,,1,35.106667,-90.093333
0,0,2949,2238,MEMPHIS,,MEMPHIS,TN,38113, MID-CONTINENT TERMINALS,,1,35.106667,-90.093333
0,0,2950,2237,MEMPHIS,,MEMPHIS,TN,38113, MID SOUTH TERMINAL CORP.,,1,35.106667,-90.093333
0,0,2951,2239,MEMPHIS,,MEMPHIS,TN,38113, KOPPERS CO., INC.,,1,35.106667,-90.093333
0,0,2952,2241,MEMPHIS,,MEMPHIS,TN,38113, WESTERN TAR PRODUCTS COR,,1,35.106667,-90.093333
0,0,2953,2240,MEMPHIS,,MEMPHIS,TN,38113, CHEMICAL MARKETING INTER,,1,35.106667,-90.093333
0,0,2954,2263,MEMPHIS,,MEMPHIS,TN,38106, AMER COMMERCIAL LIQ TERM,,1,35.1,-90.05
0,0,2955,2236,MEMPHIS,,MEMPHIS,TN,38106, UNION OIL,,1,35.1,-90.05
0,0,2957,2233,MEMPHIS,,MEMPHIS,TN,38109, RIVERGATE TERMINAL CO,,1,35.061667,-90.086667
0,0,2958,2234,MEMPHIS,,MEMPHIS,TN,38109, GULF REFINING + MARKETIN,,1,35.061667,-90.086667
0,0,2959,2235,MEMPHIS,,MEMPHIS,TN,38109, DELTA REFINING CO.,,2,35.061667,-90.086667
0,0,2960,2265,MEMPHIS,,MEMPHIS,TN,38109, FULLEN DOCK + WAREHOUSE,,3,35.061667,-90.086667
0,0,2961,2232,MEMPHIS,,MEMPHIS,TN,38109, THOMAS ALLEN STEAM PLANT,,1,35.061667,-90.086667
