AREA|PERIMETER|USPORT2K_|USPORT2K_I|NAME|ADDRESS|CITY|STATE|ZIPCODE|OWNER|FUNCTION|BERTHS|LAT|LONG
0|0|2746|2200|NEW JOHNSONVILLE, TN||NEW JOHNSONVILL|TN|37134|SANGRAVL INC||2|36.021667|-87.966667
0|0|2747|2201|NEW JOHNSONVILLE, TN||NEW JOHNSONVILL|TN|37134|VANGUARD SERVICES INC||1|36.021667|-87.966667
0|0|2748|2199|NEW JOHNSONVILLE, TN||NEW JOHNSONVILL|TN|37134|NEW JOHNSONVILLE STEAM P||9|36.021667|-87.966667
0|0|2749|2198|NEW JOHNSONVILLE, TN||NEW JOHNSONVILL|TN|37134|E I DUPONT DE NEMOURS +||6|36.021667|-87.966667
0|0|2750|2227|SPRING CITY, TN||SPRING CITY|TN|37381|HIWASSEE LAND CO.||1|35.693333|-84.858333
0|0|2751|2172|HELOISE, TN||FINLEY|TN|38030|GULF COAST GRAIN||1|36.045|-89.48
0|0|2752|2174|BOOTHSPOINT, TN||BOOTHSPOINT|TN|38024|BUNGE GRAIN CO.||1|36.036667|-89.38
0|0|2753|2173|HELOISE, TN||HELOISE|TN|38024|CHOCTAW TRANSPORTATION C||1|36.036667|-89.38
0|0|2754|2226|WATTS BAR DAM, TN||WATTS BAR DAM|TN|37395|WATTS BAR STEAM PLANT||9|35.615|-84.755
0|0|2768|2215|HALES POINT, TN||HALLS|TN|38040|CONTINENTAL GRAIN CO.||1|35.878333|-89.398333
0|0|2771|2171|PERRYVILLE, TN||PARSONS|TN|38363|TEAGUE BROS. SAND + GRAV||1|35.65|-88.125
0|0|2772|2170|PERRYVILLE, TN||PARSONS|TN|38363|TINKER SAND + GRAVEL CO||1|35.65|-88.125
0|0|2773|2168|PERRYVILLE, TN||PARSONS|TN|38363|AMERICAN MATERIALS CO||1|35.65|-88.125
0|0|2774|2169|PERRYVILLE, TN||PARSONS|TN|38363|HIWASSEE LAND CO||0|35.65|-88.125
0|0|2775|2214|GOLD DUST, TN||RIPLEY|TN|38063|WEST TENNESSEE GRAIN TER||1|35.743333|-89.531667
0|0|2783|2217|CALHOUN, TN||CALHOUN|TN|37309|HIWASSEE SAND CO.||3|35.291667|-84.75
0|0|2784|2216|CALHOUN, TN||CALHOUN|TN|37309|BOWATERS SOUTHERN PAPER||3|35.291667|-84.75
0|0|2785|2144|CHARLESTON, TN||CHARLESTON|TN|37310|OLIN CORPORATION||4|35.29|-84.756667
0|0|2786|2145|CHARLESTON, TN||CHARLESTON|TN|37310|DIAMOND CRYSTAL SALT CO.||4|35.29|-84.756667
0|0|2793|2193|SODDY-DAISY, TN||SODDY-DAISY|TN|37379|HIWASSEE LAND COMPANY||1|35.255|-85.18
0|0|2894|2269|CLIFTON, TN||CLIFTON|TN|38425|DOWDY + LACHER INC||2|35.385|-87.993333
0|0|2895|2192|CHATTANOOGA, TN||HARRISON|TN|37341|C.F. INDUSTRIES INC||1|35.111667|-85.143333
0|0|2896|2183|CHATTANOOGA, TN||CHATTANOOGA|TN|37406|SEABOARD ALLIED MILLING||3|35.071667|-85.261667
0|0|2897|2184|CHATTANOOGA, TN||CHATTANOOGA|TN|37406|CENTRAL SOYA CO INC||6|35.071667|-85.261667
0|0|2898|2188|CHATTANOOGA, TN||CHATTANOOGA|TN|37405|AMOCO OIL CO||2|35.065|-85.331667
0|0|2899|2189|CHATTANOOGA, TN||CHATTANOOGA|TN|37405|TEXACO INC||3|35.065|-85.331667
0|0|2900|2177|CHATTANOOGA, TN||CHATTANOOGA|TN|37405|MID SOUTH TERMINALS||5|35.065|-85.331667
0|0|2901|2185|CHATTANOOGA, TN||CHATTANOOGA|TN|37405|CARGILL INC||6|35.065|-85.331667
0|0|2902|2187|CHATTANOOGA, TN||CHATTANOOGA|TN|37405|ROCK-TENN CO MILL DIVISI||1|35.065|-85.331667
0|0|2903|2180|CHATTANOOGA, TN||CHATTANOOGA|TN|37401|SOUTHERN FOUNDRY SUPPLY||2|35.046667|-85.311667
0|0|2904|2178|CHATTANOOGA, TN||CHATTANOOGA|TN|37401|GENERAL OILS INC||1|35.046667|-85.311667
0|0|2905|2190|CHATTANOOGA, TN||CHATTANOOGA|TN|37401|CHATTA WAREHOUSE + COLD||0|35.046667|-85.311667
0|0|2906|2191|CHATTANOOGA, TN||CHATTANOOGA|TN|37401|VOLUNTEER ARMY AMMO PLAN||1|35.046667|-85.311667
0|0|2907|2181|CHATTANOOGA, TN||CHATTANOOGA|TN|37401|DIXIE PORTLAND FLOUR MIL||3|35.046667|-85.311667
0|0|2908|2186|CHATTANOOGA, TN||CHATTANOOGA|TN|37401|TENN RIVER TERMINALS INC||2|35.046667|-85.311667
0|0|2909|2176|CHATTANOOGA, TN||CHATTANOOGA|TN|37402|SIGNAL MTN CEMENT CO||1|35.046667|-85.315
0|0|2910|2175|CHATTANOOGA, TN||CHATTANOOGA|TN|37402|ROHM + HAAS CO||1|35.046667|-85.315
0|0|2911|2182|CHATTANOOGA, TN||CHATTANOOGA|TN|37402|DIXIE SAND + GRAVEL CORP||4|35.046667|-85.315
0|0|2912|2179|CHATTANOOGA, TN||CHATTANOOGA|TN|37402|COMBUSTION ENGINEERING I||2|35.046667|-85.315
0|0|2913|2220|JASPER, TN||JASPER|TN|37347|TENN. CONSOLIDATED COAL||4|35.075|-85.626667
0|0|2914|2221|BENNETT LAKE, TN||BENNETT LAKE|TN|37347|GENERAL PORTLAND CEMENT||7|35.075|-85.626667
0|0|2916|2219|GUILD, TN||GUILD|TN|37340|SERODINO INC.||0|35.041667|-85.531667
0|0|2917|2218|SOUTH PITTSBURG, TN||SOUTH PITTSBURG|TN|37380|TENN. CONSOLIDATED COAL||3|35.013333|-85.706667
0|0|2921|2259|MEMPHIS, TN||MEMPHIS|TN|38107|CONTINENTAL GRAIN CO.||1|35.18|-90.043333
0|0|2922|2257|MEMPHIS, TN||MEMPHIS|TN|38107|BUNGE CORP||1|35.18|-90.043333
0|0|2923|2258|MEMPHIS, TN||MEMPHIS|TN|38107|CARGILL INC.-MOLASSES DI||1|35.18|-90.043333
0|0|2924|2250|MEMPHIS, TN||MEMPHIS|TN|38107|TRUMBULL ASPHALT CO.||1|35.18|-90.043333
0|0|2925|2260|MEMPHIS, TN||MEMPHIS|TN|38107|APAC - TENNESSEE INC||1|35.18|-90.043333
0|0|2926|2194|COUNCE, TN||COUNCE|TN|38326|TENN RIVER PULP + PAPER||1|35.041667|-88.273333
0|0|2932|2249|MEMPHIS, TN||MEMPHIS|TN|38157|PILLSBURY CO||1|35.125|-90.056667
0|0|2933|2264|MEMPHIS, TN||MEMPHIS|TN|38126|LUCY WOODSTOCK CHEMICAL||1|35.125|-90.058333
0|0|2934|2248|MEMPHIS, TN||MEMPHIS|TN|38101|W M BARR CO.||1|35.115|-90.055
0|0|2935|2256|MEMPHIS, TN||MEMPHIS|TN|38101|MISSOURI PORTLAND CEMENT||1|35.115|-90.055
0|0|2936|2244|MEMPHIS, TN||MEMPHIS|TN|38101|CARGILL SOYBEAN DOCK||2|35.115|-90.055
0|0|2937|2262|MEMPHIS, TN||MEMPHIS|TN|38101|EXXON CO. USA||1|35.115|-90.055
0|0|2938|2242|MEMPHIS, TN||MEMPHIS|TN|38101|ISLAND TERMINAL CO.||1|35.115|-90.055
0|0|2939|2253|MEMPHIS, TN||MEMPHIS|TN|38113|CARGILL CORN STARCH AND||1|35.106667|-90.093333
0|0|2940|2252|MEMPHIS, TN||MEMPHIS|TN|38113|RIVER CEMENT CO.||1|35.106667|-90.093333
0|0|2941|2255|MEMPHIS, TN||MEMPHIS|TN|38113|CHICAGO BRIDGE + IRON||1|35.106667|-90.093333
0|0|2942|2254|MEMPHIS, TN||MEMPHIS|TN|38113|CHEMTECH INDUSTRIES||1|35.106667|-90.093333
0|0|2943|2251|MEMPHIS, TN||MEMPHIS|TN|38113|NATIONAL DISTILLERS PROD||1|35.106667|-90.093333
0|0|2944|2243|MEMPHIS, TN||MEMPHIS|TN|38113|TABOR GRAIN CO.||1|35.106667|-90.093333
0|0|2945|2261|MEMPHIS, TN||MEMPHIS|TN|38113|TOSCO CORP||1|35.106667|-90.093333
0|0|2946|2245|MEMPHIS, TN||MEMPHIS|TN|38113|AMOCO OIL CO.||1|35.106667|-90.093333
0|0|2947|2247|MEMPHIS, TN||MEMPHIS|TN|38113|UNION TEXAS PETROLEUM CO||1|35.106667|-90.093333
0|0|2948|2246|MEMPHIS, TN||MEMPHIS|TN|38113|ERGON INC.||1|35.106667|-90.093333
0|0|2949|2238|MEMPHIS, TN||MEMPHIS|TN|38113|MID-CONTINENT TERMINALS||1|35.106667|-90.093333
0|0|2950|2237|MEMPHIS, TN||MEMPHIS|TN|38113|MID SOUTH TERMINAL CORP.||1|35.106667|-90.093333
0|0|2951|2239|MEMPHIS, TN||MEMPHIS|TN|38113|KOPPERS CO. INC.||1|35.106667|-90.093333
0|0|2952|2241|MEMPHIS, TN||MEMPHIS|TN|38113|WESTERN TAR PRODUCTS COR||1|35.106667|-90.093333
0|0|2953|2240|MEMPHIS, TN||MEMPHIS|TN|38113|CHEMICAL MARKETING INTER||1|35.106667|-90.093333
0|0|2954|2263|MEMPHIS, TN||MEMPHIS|TN|38106|AMER COMMERCIAL LIQ TERM||1|35.1|-90.05
0|0|2955|2236|MEMPHIS, TN||MEMPHIS|TN|38106|UNION OIL||1|35.1|-90.05
0|0|2957|2233|MEMPHIS, TN||MEMPHIS|TN|38109|RIVERGATE TERMINAL CO||1|35.061667|-90.086667
0|0|2958|2234|MEMPHIS, TN||MEMPHIS|TN|38109|GULF REFINING + MARKETIN||1|35.061667|-90.086667
0|0|2959|2235|MEMPHIS, TN||MEMPHIS|TN|38109|DELTA REFINING CO.||2|35.061667|-90.086667
0|0|2960|2265|MEMPHIS, TN||MEMPHIS|TN|38109|FULLEN DOCK + WAREHOUSE||3|35.061667|-90.086667
0|0|2961|2232|MEMPHIS, TN||MEMPHIS|TN|38109|THOMAS ALLEN STEAM PLANT||1|35.061667|-90.086667
