 1013 96          0.0026001
 1013 95          0.0004001
 1013 90          0.0182001
 1015174          0.1261001
 1015158          0.0038001
 1015187          0.0560001
 1015176          0.0144001
 1015152          0.0120001
 1015146          0.0513001
 1015154          0.0103001
 1015153          0.0557001
 1015188          0.0005001
 1015209          0.0014001
 1015208          0.0223001
 1015230          0.0055001
 1015219          0.0686001
 1015199          0.0071001
 1015193          0.0414001
 1015202          0.0103001
 1015200          0.0007001
 1015 79          0.0041001
 1015 77          0.0016001
 1015 99          0.0123001
 1015 81          0.1280001
 1015 45          0.0019001
 1015 43          0.0028001
 1015 63          0.0331001
 1015 59          0.0456001
 1015104          0.0015001
 1015135          0.0072001
 1015131          0.0009001
 1015141          0.0296001
 1015140          0.0371001
 1015113          0.0662001
 1015110          0.0176001
 1015122          0.0922001
 1015114          0.0310001
 1017152          0.0897001
 1017146          0.0450001
 1017158          0.0074001
 1017153          0.0233001
 1017138          0.0035001
 1017135          0.0024001
 1017141          0.0026001
 1017140          0.0085001
 1017174          0.3099001
 1017219          0.1223001
 1017208          0.0090001
 1017230          0.0352001
 1017227          0.0094001
 1017199          0.0060001
 1017187          0.0958001
 1017202          0.0036001
 1017200          0.0047001
 1017123          0.0015001
 1017 61          0.0012001
 1017 59          0.0805001
 1017 79          0.0027001
 1017 63          0.0306001
 1017 44          0.0013001
 1017 43          0.0005001
 1017 46          0.0012001
 1017 45          0.0085001
 1017 81          0.0468001
 1017109          0.0043001
 1017104          0.0007001
 1017113          0.0060001
 1017110          0.0054001
 1017 83          0.0102001
 1017 82          0.0007001
 1017 99          0.0146001
 1017 85          0.0051001
 1019158          0.0034001
 1019154          0.0205001
 1019176          0.0005001
 1019174          0.1232001
 1019153          0.0272001
 1019148          0.0026001
 1019146          0.0292001
 1019152          0.0179001
 1019149          0.0009001
 1019187          0.0699001
 1019219          0.0276001
 1019209          0.0073001
 1019230          0.0068001
 1019220          0.0015001
 1019208          0.0071001
 1019193          0.0501001
 1019188          0.0063001
 1019202          0.0079001
 1019199          0.0023001
 1019141          0.0480001
 1019 81          0.0988001
 1019 78          0.0011001
 1019 85          0.0149001
 1019 83          0.0030001
 1019 63          0.0179001
 1019 45          0.0010001
 1019 43          0.0086001
